product_id,product_name,description,price,discount_percentage,category,brand,stock_quantity,color,size,weight,dimensions,release_date,rating,reviews_count,seller_name,seller_rating,seller_reviews_count,shipping_method,shipping_cost
1,duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit donec diam,"Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque.",71.72,36.99,electronics,nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi,864,Puce,extra large,2.4,sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent,2021-09-10,2.5,823,justo pellentesque viverra pede ac diam cras pellentesque volutpat dui,1.5,903,free,15.02
2,arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",844.11,29.47,beauty,in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum,358,Turquoise,extra large,6.8,natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus,2013-04-10,3.7,423,lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis,2.3,40,standard,35.57
3,quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa,"Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla.",510.95,5.84,home decor,iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla,96,Indigo,small,7.7,nulla neque libero convallis eget eleifend luctus ultricies eu nibh,2016-03-20,3.5,294,lorem quisque ut erat curabitur gravida nisi at nibh in hac,4.3,218,express,13.89
4,id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel,"Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",102.93,41.79,clothing,ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis,571,Fuscia,medium,8.9,sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci,2010-08-05,4.1,190,morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus,4.9,472,standard,9.38
5,a suscipit nulla elit ac nulla sed vel enim sit amet nunc,"Morbi a ipsum. Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.",93.35,10.68,toys,elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet,342,Puce,medium,5.7,venenatis non sodales sed tincidunt eu felis fusce posuere felis sed,2014-10-01,2.1,441,convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris,4.6,8,free,14.08
6,ut blandit non interdum in ante vestibulum ante ipsum primis in,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat.",454.05,35.71,electronics,at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum,36,Turquoise,small,8.6,proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit,2012-01-20,2.8,144,luctus ultricies eu nibh quisque id justo sit amet sapien,4.5,10,express,23.53
7,cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",168.97,47.84,toys,turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec,561,Puce,large,9.4,sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus,2012-10-14,1.5,644,sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar,1.3,257,standard,42.99
8,sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue,"Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl.",261.92,25.38,toys,a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas,724,Aquamarine,large,9.0,nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac leo,2016-12-27,1.7,34,suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus,1.4,408,express,39.14
9,est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac,"Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",103.19,13.14,toys,vestibulum quam sapien varius ut blandit non interdum in ante vestibulum,36,Teal,medium,9.9,convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci,2014-08-23,5.0,397,at dolor quis odio consequat varius integer ac leo pellentesque ultrices,3.2,806,standard,18.52
10,in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices,"Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim.",45.31,37.67,home decor,nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at,820,Aquamarine,medium,3.8,viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac,2016-02-13,4.2,735,dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed,1.7,764,express,9.45
